atividade_nome,turma,aluno_nome,num_exercicio,resp_aluno,gabarito,certo_ou_errado,tempo_no_exercicio(s),valor_do_exercicio
Simulado Diagnóstico - 2025.1,PS ESTUDANTES 2025.1,fq,1,,c,errado,,"0,111111"
Simulado Diagnóstico - 2025.1,PS ESTUDANTES 2025.1,fq,2,,a,errado,,"0,111111"
Simulado Diagnóstico - 2025.1,PS ESTUDANTES 2025.1,fq,3,,c,errado,,"0,111111"
Simulado Diagnóstico - 2025.1,PS ESTUDANTES 2025.1,fq,4,,e,errado,,"0,111111"
Simulado Diagnóstico - 2025.1,PS ESTUDANTES 2025.1,fq,5,,c,errado,,"0,111111"
Simulado Diagnóstico - 2025.1,PS ESTUDANTES 2025.1,fq,6,,d,errado,,"0,111111"
Simulado Diagnóstico - 2025.1,PS ESTUDANTES 2025.1,fq,7,,d,errado,,"0,111111"
Simulado Diagnóstico - 2025.1,PS ESTUDANTES 2025.1,fq,8,,a,errado,,"0,111111"
Simulado Diagnóstico - 2025.1,PS ESTUDANTES 2025.1,fq,9,,d,errado,,"0,111111"
Simulado Diagnóstico - 2025.1,PS ESTUDANTES 2025.1,fq,10,,c,errado,,"0,111111"
Simulado Diagnóstico - 2025.1,PS ESTUDANTES 2025.1,fq,11,,a,errado,,"0,111111"
Simulado Diagnóstico - 2025.1,PS ESTUDANTES 2025.1,fq,12,,e,errado,,"0,111111"
Simulado Diagnóstico - 2025.1,PS ESTUDANTES 2025.1,fq,13,,c,errado,,"0,111111"
Simulado Diagnóstico - 2025.1,PS ESTUDANTES 2025.1,fq,14,,d,errado,,"0,111111"
Simulado Diagnóstico - 2025.1,PS ESTUDANTES 2025.1,fq,15,,d,errado,,"0,111111"
Simulado Diagnóstico - 2025.1,PS ESTUDANTES 2025.1,fq,16,,c,errado,,"0,111111"
Simulado Diagnóstico - 2025.1,PS ESTUDANTES 2025.1,fq,17,,b,errado,,"0,111111"
Simulado Diagnóstico - 2025.1,PS ESTUDANTES 2025.1,fq,18,,e,errado,,"0,111111"
Simulado Diagnóstico - 2025.1,PS ESTUDANTES 2025.1,fq,19,,e,errado,,"0,111111"
Simulado Diagnóstico - 2025.1,PS ESTUDANTES 2025.1,fq,20,,b,errado,,"0,111111"
Simulado Diagnóstico - 2025.1,PS ESTUDANTES 2025.1,fq,21,,b,errado,,"0,111111"
Simulado Diagnóstico - 2025.1,PS ESTUDANTES 2025.1,fq,22,,a,errado,,"0,111111"
Simulado Diagnóstico - 2025.1,PS ESTUDANTES 2025.1,fq,23,,d,errado,,"0,111111"
Simulado Diagnóstico - 2025.1,PS ESTUDANTES 2025.1,fq,24,,e,errado,,"0,111111"
Simulado Diagnóstico - 2025.1,PS ESTUDANTES 2025.1,fq,25,,b,errado,,"0,111111"
Simulado Diagnóstico - 2025.1,PS ESTUDANTES 2025.1,fq,26,,a,errado,,"0,111111"
Simulado Diagnóstico - 2025.1,PS ESTUDANTES 2025.1,fq,27,,e,errado,,"0,111111"
Simulado Diagnóstico - 2025.1,PS ESTUDANTES 2025.1,fq,28,,a,errado,,"0,111111"
