Questões,Disciplina,Subarea
1,Interpretação de texto,"Linguagens, Códigos e suas Tecnologias"
2,Interpretação de texto,"Linguagens, Códigos e suas Tecnologias"
3,Interpretação de texto,"Linguagens, Códigos e suas Tecnologias"
4,Interpretação de texto,"Linguagens, Códigos e suas Tecnologias"
5,Literatura,"Linguagens, Códigos e suas Tecnologias"
6,Literatura,"Linguagens, Códigos e suas Tecnologias"
7,Literatura,"Linguagens, Códigos e suas Tecnologias"
8,História Geral,Ciências Humanas e suas Tecnologias
9,História Geral,Ciências Humanas e suas Tecnologias
10,História Geral,Ciências Humanas e suas Tecnologias
11,História Geral,Ciências Humanas e suas Tecnologias
12,História Geral,Ciências Humanas e suas Tecnologias
13,História Geral,Ciências Humanas e suas Tecnologias
14,História do Brasil,Ciências Humanas e suas Tecnologias
15,História do Brasil,Ciências Humanas e suas Tecnologias
16,História do Brasil,Ciências Humanas e suas Tecnologias
17,História do Brasil,Ciências Humanas e suas Tecnologias
18,História do Brasil,Ciências Humanas e suas Tecnologias
19,História do Brasil,Ciências Humanas e suas Tecnologias
20,Geografia Geral,Ciências Humanas e suas Tecnologias
21,Geografia Geral,Ciências Humanas e suas Tecnologias
22,Geografia Geral,Ciências Humanas e suas Tecnologias
23,Geografia Geral,Ciências Humanas e suas Tecnologias
24,Geografia Geral,Ciências Humanas e suas Tecnologias
25,Geografia Geral,Ciências Humanas e suas Tecnologias
26,Geografia do Brasil,Ciências Humanas e suas Tecnologias
27,Geografia do Brasil,Ciências Humanas e suas Tecnologias
28,Geografia do Brasil,Ciências Humanas e suas Tecnologias
29,Biologia Geral,Ciências da Natureza e suas Tecnologias
30,Biologia Geral,Ciências da Natureza e suas Tecnologias
31,Biologia Geral,Ciências da Natureza e suas Tecnologias
32,Biologia Geral,Ciências da Natureza e suas Tecnologias
33,Biologia Celular,Ciências da Natureza e suas Tecnologias
34,Biologia Celular,Ciências da Natureza e suas Tecnologias
35,Biologia Celular,Ciências da Natureza e suas Tecnologias
36,Quimíca Orgânica,Ciências da Natureza e suas Tecnologias
37,Quimíca Orgânica,Ciências da Natureza e suas Tecnologias
38,Quimíca Orgânica,Ciências da Natureza e suas Tecnologias
39,Física A,Ciências da Natureza e suas Tecnologias
40,Física A,Ciências da Natureza e suas Tecnologias
41,Física A,Ciências da Natureza e suas Tecnologias
42,Física A,Ciências da Natureza e suas Tecnologias
43,Física B,Ciências da Natureza e suas Tecnologias
44,Física B,Ciências da Natureza e suas Tecnologias
45,Física B,Ciências da Natureza e suas Tecnologias
46,Geometria,Matemática e suas Tecnologias
47,Geometria,Matemática e suas Tecnologias
48,Geometria,Matemática e suas Tecnologias
49,Geometria,Matemática e suas Tecnologias
50,Gramática,"Linguagens, Códigos e suas Tecnologias"
51,Gramática,"Linguagens, Códigos e suas Tecnologias"
52,Gramática,"Linguagens, Códigos e suas Tecnologias"
53,Literatura,"Linguagens, Códigos e suas Tecnologias"
54,Literatura,"Linguagens, Códigos e suas Tecnologias"
55,Literatura,"Linguagens, Códigos e suas Tecnologias"
56,Gramática,"Linguagens, Códigos e suas Tecnologias"
57,Gramática,"Linguagens, Códigos e suas Tecnologias"
58,Gramática,"Linguagens, Códigos e suas Tecnologias"
59,Química Geral,Ciências da Natureza e suas Tecnologias
60,Química Geral,Ciências da Natureza e suas Tecnologias
61,Química Geral,Ciências da Natureza e suas Tecnologias
62,Química Geral,Ciências da Natureza e suas Tecnologias
63,Interpretação de texto,"Linguagens, Códigos e suas Tecnologias"
64,Interpretação de texto,"Linguagens, Códigos e suas Tecnologias"
65,Interpretação de texto,"Linguagens, Códigos e suas Tecnologias"
66,Interpretação de texto,"Linguagens, Códigos e suas Tecnologias"
67,Inglês,"Linguagens, Códigos e suas Tecnologias"
68,Inglês,"Linguagens, Códigos e suas Tecnologias"
69,Inglês,"Linguagens, Códigos e suas Tecnologias"
70,Inglês,"Linguagens, Códigos e suas Tecnologias"
71,Inglês,"Linguagens, Códigos e suas Tecnologias"
72,Inglês,"Linguagens, Códigos e suas Tecnologias"
73,Inglês,"Linguagens, Códigos e suas Tecnologias"
74,Inglês,"Linguagens, Códigos e suas Tecnologias"
75,Inglês,"Linguagens, Códigos e suas Tecnologias"
76,Inglês,"Linguagens, Códigos e suas Tecnologias"
77,Filosofia,Ciências Humanas e suas Tecnologias
78,Filosofia,Ciências Humanas e suas Tecnologias
79,Filosofia,Ciências Humanas e suas Tecnologias
80,Sociologia,Ciências Humanas e suas Tecnologias
81,Sociologia,Ciências Humanas e suas Tecnologias
82,Sociologia,Ciências Humanas e suas Tecnologias
83,Geografia do Brasil,Ciências Humanas e suas Tecnologias
84,Geografia do Brasil,Ciências Humanas e suas Tecnologias
85,Geografia do Brasil,Ciências Humanas e suas Tecnologias
86,Álgebra,Matemática e suas Tecnologias
87,Álgebra,Matemática e suas Tecnologias
88,Álgebra,Matemática e suas Tecnologias
89,Álgebra,Matemática e suas Tecnologias
90,Álgebra,Matemática e suas Tecnologias
