NomeAnonimo,5,6,7,10,11,12,13,14,17,18,19,20,21,24,25,26,27,28,31,Presença,Falta
Nome1,p,p,p,F,F,F,F,F,F,p,p,P,F,P,F,F,P,F,F,8.0,11.0
Nome2,F,P,P,P,F,P,F,P,F,p,P,P,F,P,F,F,p,P,F,11.0,8.0
Nome3,F,P,F,P,P,p,P,F,P,p,F,P,F,P,P,P,F,P,P,13.0,6.0
Nome4,P,P,P,P,P,p,P,P,P,p,F,P,F,P,P,P,P,F,F,15.0,4.0
Nome5,,,,,,,,,,,,,,,,,,,,,
Nome6,P,F,F,P,P,p,F,P,P,p,P,P,F,P,P,F,F,F,P,12.0,7.0
Nome7,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.0,19.0
Nome8,F,P,P,P,P,P,P,F,P,p,p,P,P,P,F,F,F,F,P,13.0,6.0
Nome9,P,P,P,P,P,P,F,P,P,F,F,P,P,P,F,P,F,F,P,13.0,6.0
Nome10,F,P,F,P,F,p,F,F,P,p,P,P,P,P,F,P,P,F,P,12.0,7.0
Nome11,F,F,F,P,F,P,F,F,F,F,F,F,F,F,F,F,F,F,F,2.0,17.0
Nome12,P,P,F,P,F,p,P,P,P,p,F,P,P,F,F,F,P,F,F,11.0,8.0
Nome13,F,F,F,F,F,F,P,F,F,F,p,P,P,P,F,F,P,P,P,8.0,11.0
Nome14,F,P,F,P,P,p,F,F,F,F,F,F,F,F,F,F,F,F,F,4.0,15.0
Nome15,P,F,F,F,P,p,F,P,F,p,P,P,P,P,F,P,F,p,F,11.0,8.0
Nome16,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.0,19.0
Nome17,P,P,P,P,P,p,P,F,P,p,P,P,P,P,P,P,P,P,P,18.0,1.0
Nome18,F,P,P,P,F,p,P,P,P,p,P,P,P,P,P,P,F,P,P,16.0,3.0
Nome19,P,P,p,P,F,p,P,P,P,F,p,P,P,P,P,F,P,P,P,16.0,3.0
Nome20,P,P,P,P,F,p,P,P,P,p,p,P,P,P,P,P,P,F,P,17.0,2.0
Nome21,F,P,P,P,P,P,P,P,P,p,F,P,P,P,P,P,P,F,p,16.0,3.0
Nome22,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.0,19.0
Nome23,F,P,P,P,F,p,P,P,P,p,p,P,P,P,P,P,P,P,P,17.0,2.0
Nome24,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.0,19.0
Nome25,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.0,19.0
Nome26,P,P,p,P,P,P,P,F,P,p,P,P,P,P,P,F,F,P,F,15.0,4.0
Nome27,P,P,F,P,P,p,P,P,P,P,F,P,P,P,P,P,F,F,F,14.0,5.0
